# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.2,-1.64,0.7,0.7
-3.15,-1.64,0.7,0.7
-3.1,-1.64,0.7,0.7
-3.05,-1.64,0.7,0.7
-3.0,-1.64,0.7,0.7
-2.95,-1.64,0.7,0.7
-2.9,-1.64,0.7,0.7
-2.85,-1.64,0.7,0.7
-2.8,-1.64,0.7,0.7
-2.75,-1.64,0.7,0.7
-2.7,-1.64,0.7,0.7
-2.65,-1.64,0.7,0.7
-2.6,-1.64,0.7,0.7
-2.55,-1.64,0.7,0.7
-2.5,-1.64,0.7,0.7
-2.45,-1.64,0.7,0.7
-2.4,-1.64,0.7,0.7
-2.35,-1.64,0.7,0.7
-2.3,-1.64,0.7,0.7
-2.25,-1.64,0.7,0.7
-2.2,-1.64,0.7,0.7
-2.15,-1.64,0.7,0.7
-2.1,-1.64,0.7,0.7
-2.05,-1.64,0.7,0.7
-2.0,-1.64,0.7,0.7
-1.95,-1.64,0.7,0.7
-1.9,-1.64,0.7,0.7
-1.85,-1.64,0.7,0.7
-1.8,-1.64,0.7,0.7
-1.75,-1.64,0.7,0.7
-1.7,-1.64,0.7,0.7
-1.65,-1.64,0.7,0.7
-1.6,-1.64,0.7,0.7
-1.55,-1.64,0.7,0.7
-1.5,-1.64,0.7,0.7
-1.45,-1.64,0.7,0.7
-1.4,-1.64,0.7,0.7
-1.35,-1.64,0.7,0.7
-1.3,-1.64,0.7,0.7
-1.25,-1.64,0.7,0.7
-1.2,-1.64,0.7,0.7
-1.15,-1.64,0.7,0.7
-1.1,-1.64,0.7,0.7
-1.05,-1.64,0.7,0.7
-1.0,-1.64,0.7,0.7
-0.95,-1.64,0.7,0.7
-0.9,-1.64,0.7,0.7
-0.85,-1.64,0.7,0.7
-0.8,-1.64,0.7,0.7
-0.75,-1.64,0.7,0.7
-0.7,-1.64,0.7,0.7
-0.65,-1.64,0.7,0.7
-0.6,-1.64,0.7,0.7
-0.55,-1.64,0.7,0.7
-0.5,-1.64,0.7,0.7
-0.45,-1.64,0.7,0.7
-0.4,-1.64,0.7,0.7
-0.4,-1.59,0.7,0.7
-0.4,-1.54,0.7,0.7
-0.4,-1.49,0.7,0.7
-0.4,-1.44,0.7,0.7
-0.4,-1.39,0.7,0.7
-0.4,-1.34,0.7,0.7
-0.4,-1.29,0.7,0.7
-0.4,-1.24,0.7,0.7
-0.4,-1.19,0.7,0.7
-0.4,-1.14,0.7,0.7
-0.4,-1.09,0.7,0.7
-0.4,-1.04,0.7,0.7
-0.4,-0.99,0.7,0.7
-0.4,-0.94,0.7,0.7
-0.4,-0.89,0.7,0.7
-0.4,-0.84,0.7,0.7
-0.4,-0.79,0.7,0.7
-0.4,-0.74,0.7,0.7
-0.4,-0.69,0.7,0.7
-0.4,-0.64,0.7,0.7
-0.4,-0.59,0.7,0.7
-0.4,-0.54,0.7,0.7
-0.4,-0.49,0.7,0.7
-0.4,-0.44,0.7,0.7
-0.4,-0.39,0.7,0.7
-0.4,-0.34,0.7,0.7
-0.4,-0.29,0.7,0.7
-0.4,-0.24,0.7,0.7
-0.4,-0.19,0.7,0.7
-0.4,-0.14,0.7,0.7
-0.4,-0.09,0.7,0.7
-0.4,-0.04,0.7,0.7
-0.4,0.01,0.7,0.7
-0.4,0.06,0.7,0.7
-0.4,0.11,0.7,0.7
-0.4,0.16,0.7,0.7
-0.4,0.21,0.7,0.7
-0.4,0.26,0.7,0.7
-0.4,0.31,0.7,0.7
-0.4,0.36,0.7,0.7
-0.4,0.41,0.7,0.7
-0.4,0.46,0.7,0.7
-0.4,0.51,0.7,0.7
-0.4,0.56,0.7,0.7
-0.4,0.61,0.7,0.7
-0.4,0.66,0.7,0.7
-0.4,0.71,0.7,0.7
-0.4,0.76,0.7,0.7
-0.4,0.81,0.7,0.7
-0.4,0.86,0.7,0.7
-0.4,0.91,0.7,0.7
